"mse.full" "mse.0" "mse.3" "mse.6" "mse.9"
"0.1" 399530797070921 0.38 2.83 0.51 8.53
"1" 37903646.98 0.29 0.35 0.41 0.26
"5" 0.54 0.23 0.31 0.27 0.24
"10" 0.57 0.22 0.26 0.24 0.2
"20" 0.5 0.22 0.27 0.23 0.19
"50" 0.5 0.22 0.26 0.23 0.18
"-1" 0.5 0.22 0.26 0.23 0.18
"mse_sd.full" "mse_sd.0" "mse_sd.3" "mse_sd.6" "mse_sd.9"
"0.1" 990399821259968 0.19 2.72 0.38 9.01
"1" 109592065.73 0.12 0.28 0.24 0.14
"5" 0.18 0.11 0.28 0.2 0.13
"10" 0.19 0.1 0.23 0.21 0.1
"20" 0.18 0.1 0.24 0.2 0.1
"50" 0.18 0.1 0.2 0.19 0.09
"-1" 0.21 0.1 0.18 0.18 0.09
"mse_unfair.full" "mse_unfair.0" "mse_unfair.3" "mse_unfair.6" "mse_unfair.9"
"0.1" 384939050387018 0.26 1.75 0.44 9.39
"1" 59370315.04 0.27 0.34 0.4 0.24
"5" 0.62 0.21 0.28 0.27 0.23
"10" 0.53 0.19 0.23 0.22 0.2
"20" 0.49 0.19 0.24 0.22 0.18
"50" 0.51 0.2 0.23 0.22 0.18
"-1" 0.52 0.2 0.24 0.22 0.18
"mse_unfair_sd.full" "mse_unfair_sd.0" "mse_unfair_sd.3" "mse_unfair_sd.6" "mse_unfair_sd.9"
"0.1" 951036883263366 0.1 1.89 0.28 14.04
"1" 182589653.14 0.09 0.18 0.17 0.11
"5" 0.32 0.08 0.21 0.18 0.12
"10" 0.15 0.07 0.18 0.17 0.1
"20" 0.14 0.08 0.16 0.17 0.1
"50" 0.14 0.09 0.14 0.16 0.09
"-1" 0.15 0.09 0.14 0.15 0.1
"metrics.time" "metrics.time_sd" "metrics.mean_arcs" "metrics.mean_arcs_sd" "metrics.hamming" "metrics.hamming_sd" "metrics.pers_arcs" "metrics.pers_arcs_sd" "metrics.pers_arcs_total" "metrics.pers_arcs_total_sd"
"0.1" 27.4 0.73 1467.38 55.35 74.35 44.38 81.69 4.73 59.2 4.62
"1" 24.52 0.24 411.88 29.68 41.36 12.3 57.22 5.26 11.6 1.01
"5" 39.26 1.09 573.87 68.12 77.22 19.55 45.82 5.03 12.84 0.82
"10" 44.95 1.55 630 83.33 90.64 20.65 43.65 5.45 13.39 1.07
"20" 48.73 1.42 548.4 61.89 71.89 15.6 44.74 5.41 11.98 0.89
"50" 52.72 2.11 491.57 59.34 63 13.17 46.79 6 11.23 1.17
"-1" 53.25 1.43 460.37 55.66 56.16 12.55 50.59 6.69 11.35 0.93
